"project_name","epoch_time_to_remove"
"Hadoop",3968795
"Hadoop",2663883
"Hadoop",508467
"Hadoop",881411
"Hadoop",3296
"Hadoop",12323318
"Hadoop",4736662
"Hadoop",5359108
"Hadoop",8354253
"Hadoop",55879669
"Hadoop",16124209
"Hadoop",8835206
"Hadoop",15105539
"Hadoop",4572694
"Hadoop",673166
"Hadoop",1310925
"Hadoop",691182
"Hadoop",2849397
"Hadoop",14096178
"Hadoop",2331278
"Hadoop",10067281
"Hadoop",504057
"Hadoop",602880
"Hadoop",1370329
"Hadoop",345184
"Hadoop",13655982
"Hadoop",3106663
"Hadoop",1661044
"Hadoop",91243
"Hadoop",1661044
"Hadoop",1666532
"Hadoop",927689
"Hadoop",19266425
"Hadoop",10952021
"Hadoop",34178026
"Hadoop",49686392
"Hadoop",5250385
"Hadoop",7691176
"Hadoop",4572694
"Hadoop",52421313
"Hadoop",4343134
"Hadoop",512673
"Hadoop",1014152
"Hadoop",5249648
"Hadoop",593334
"Hadoop",5249648
"Hadoop",10067281
"Hadoop",6032274
"Hadoop",51742861
"Hadoop",7514825
"Hadoop",2056469
"Hadoop",10067281
"Hadoop",52326390
"Hadoop",523035
"Hadoop",7348953
"Hadoop",512673
"Hadoop",808502
"Hadoop",464946
"Hadoop",3715027
"Hadoop",3715027
"Hadoop",590384
"Hadoop",691182
"Hadoop",4084687
"Hadoop",22104202
"Hadoop",5759360
"Hadoop",3002348
"Hadoop",1904605
"Hadoop",1125082
"Hadoop",2658962
"Hadoop",11171951
"Hadoop",51742861
"Hadoop",16170065
"Hadoop",4472871
"Hadoop",4472871
"Hadoop",5250385
"Hadoop",260876
"Hadoop",3205140
"Hadoop",1817990
"Hadoop",4157662
"Hadoop",4084288
"Hadoop",33545859
"Hadoop",13728369
"Hadoop",6409
"Hadoop",1118624
"Hadoop",5724147
"Hadoop",19414051
"Hadoop",29873806
"Hadoop",4040874
"Hadoop",1226721
"Hadoop",5250385
"Hadoop",4760612
"Hadoop",40032111
"Hadoop",1234
"Hadoop",512654
"Hadoop",14096178
"Hadoop",5359108
"Hadoop",10952021
"Hadoop",14960374
"Hadoop",1617698
"Hadoop",5350390
"Hadoop",512673
"Hadoop",2412461
"Hadoop",10952021
"Hadoop",5759360
"Hadoop",5759360
"Hadoop",1125082
"Hadoop",10067281
"Hadoop",10952021
"Hadoop",10952021
"Hadoop",10952021
"Hadoop",10952021
"Hadoop",23527394
"Hadoop",680863
"Hadoop",512673
"Hadoop",4598875
"Hadoop",14600833
