"project_name","was_td_removed","epoch_interval","comment_classification"
"Log4j",0,438750805.198918,"DESIGN"
"Log4j",1,52290730,"DESIGN"
"Log4j",1,76160,"DESIGN"
"Log4j",1,5433,"DESIGN"
"Log4j",1,159369408,"DESIGN"
"Log4j",1,52290730,"DESIGN"
"Log4j",1,23757566,"DESIGN"
"Log4j",1,79180991,"DESIGN"
"Log4j",1,5035269,"DESIGN"
"Log4j",1,11780327,"DESIGN"
"Log4j",0,478846058.198918,"DESIGN"
"Log4j",0,437616083.198918,"DESIGN"
"Log4j",1,20391,"DESIGN"
"Log4j",1,23569859,"DESIGN"
"Log4j",1,598383,"DESIGN"
"Log4j",1,113395192,"DESIGN"
"Log4j",1,162099774,"DESIGN"
"Log4j",1,2201784,"DESIGN"
"Log4j",1,6212634,"DESIGN"
"Log4j",1,2201784,"DESIGN"
"Log4j",1,595712,"DESIGN"
"Log4j",1,5035269,"DESIGN"
"Log4j",1,5035269,"DESIGN"
"Log4j",1,1645978,"DESIGN"
"Log4j",1,11093723,"DESIGN"
"Log4j",1,24180290,"DESIGN"
"Log4j",1,318475791,"DESIGN"
"Log4j",1,522638,"DESIGN"
"Log4j",1,410349,"DESIGN"
"Log4j",1,1292589,"DESIGN"
"Log4j",1,154507,"DESIGN"
"Log4j",1,79180991,"DESIGN"
"Log4j",0,456021286.198918,"DESIGN"
"Log4j",1,23570098,"DESIGN"
"Log4j",1,22145897,"DESIGN"
"Log4j",1,3512069,"DESIGN"
"Log4j",1,195161773,"DESIGN"
"Log4j",1,6400138,"DESIGN"
"Log4j",1,678431,"DESIGN"
"Log4j",1,86463714,"DESIGN"
"Log4j",1,39697635,"DESIGN"
"Log4j",1,87301,"DESIGN"
"Log4j",1,522638,"DESIGN"
"Log4j",1,14227,"DESIGN"
"Log4j",1,8422516,"DESIGN"
"Log4j",1,9011122,"DESIGN"
"Log4j",1,318475791,"DESIGN"
"Log4j",0,476920686.198918,"DESIGN"
"Log4j",0,470786795.198918,"DESIGN"
"Log4j",1,30382141,"DESIGN"
"Log4j",1,83968583,"DESIGN"
"Log4j",1,14907322,"DESIGN"
"Log4j",1,1751911,"DESIGN"
"Log4j",1,947169,"DESIGN"
"Log4j",1,14907322,"DESIGN"
"Log4j",1,14285858,"DESIGN"
"Log4j",1,20885205,"DESIGN"
"Log4j",0,478719444.198918,"DESIGN"
"Log4j",1,202368542,"DESIGN"
"Log4j",1,49963366,"DESIGN"
"Log4j",0,355127776.198918,"DESIGN"
"Log4j",0,482160339.198918,"DESIGN"
"Log4j",1,508560,"DESIGN"
"Log4j",1,72897785,"DESIGN"
"Log4j",0,437616083.198918,"DESIGN"
"Log4j",1,199014047,"DESIGN"
"Log4j",1,156393992,"DESIGN"
"Log4j",1,46595644,"DESIGN"
"Log4j",1,162099774,"DESIGN"
"Log4j",1,8208774,"DESIGN"
"Log4j",1,14957235,"DESIGN"
"Log4j",1,48665999,"DESIGN"
"Log4j",1,199140661,"DESIGN"
"Log4j",1,7612908,"DESIGN"
"Log4j",1,176207889,"DESIGN"
"Log4j",1,48665999,"DESIGN"
"Log4j",1,18499,"DESIGN"
"Log4j",1,415782,"DESIGN"
"Log4j",1,2329512,"DESIGN"
"Log4j",1,263326,"DESIGN"
"Log4j",0,441826771.198918,"DESIGN"
"Log4j",0,441826771.198918,"DESIGN"
"Log4j",1,67492,"DESIGN"
"Log4j",1,154507,"DESIGN"
"Log4j",0,476920686.198918,"DESIGN"
"Log4j",0,478846058.198918,"DESIGN"
"Log4j",1,46521842,"DESIGN"
"Log4j",1,5035269,"DESIGN"
"Log4j",1,5881477,"DESIGN"
"Log4j",1,6404115,"DESIGN"
"Log4j",1,522638,"DESIGN"
"Log4j",1,5035269,"DESIGN"
"Log4j",1,5035269,"DESIGN"
"Log4j",1,5881477,"DESIGN"
"Log4j",1,18169295,"DESIGN"
"Log4j",1,595712,"DESIGN"
"Log4j",1,86463714,"DESIGN"
"Log4j",1,86463714,"DESIGN"
"Log4j",1,52290730,"DESIGN"
"Log4j",1,14907322,"DESIGN"
"Log4j",1,63161827,"DESIGN"
"Log4j",1,70663087,"DESIGN"
"Log4j",1,36847997,"DESIGN"
"Log4j",1,508560,"DESIGN"
"Log4j",1,52591,"DESIGN"
"Log4j",1,30785356,"DESIGN"
"Log4j",1,201983660,"DESIGN"
"Log4j",1,14944868,"DESIGN"
"Log4j",1,99634860,"DESIGN"
"Log4j",1,6280117,"DESIGN"
"Log4j",1,128292070,"DESIGN"
"Log4j",0,482134148.198918,"DESIGN"
"Log4j",1,5373996,"DESIGN"
"Log4j",1,37113166,"DESIGN"
"Log4j",1,5373996,"DESIGN"
"Log4j",0,481689057.198918,"DESIGN"
"Log4j",0,481689057.198918,"DESIGN"
"Log4j",1,422735,"DESIGN"
"Log4j",1,23669651,"DESIGN"
"Log4j",1,23857586,"DESIGN"
"Log4j",1,37280149,"DESIGN"
"Log4j",1,118581,"DESIGN"
"Log4j",1,36915774,"DESIGN"
"Log4j",1,14957235,"DESIGN"
"Log4j",1,113392106,"DESIGN"
"Log4j",1,52290730,"DESIGN"
"Log4j",1,46242018,"DESIGN"
"Log4j",1,158234686,"DESIGN"
"Log4j",1,154507,"DESIGN"
"Log4j",1,23688224,"DESIGN"
"Log4j",1,14944868,"DESIGN"
"Log4j",1,20391,"DESIGN"
"Log4j",1,201983660,"DESIGN"
"Log4j",1,28792340,"DESIGN"
"Log4j",1,9049272,"DESIGN"
